IMAGE_ID,LABEL,FONT_ID,WIDTH,HEIGHT
0.jpg,Sixty Thousand Three Hundred and Seventeen,2.ttf,1680,150
1.jpg,Seventy Six Crore Eighty Five Lakh,3.ttf,1360,150
2.jpg,Twenty Six Crore Fifty Seven Lakh,0.ttf,1320,150
3.jpg,Thirty Eight Thousand One Hundred and Eighty,0.ttf,1760,150
4.jpg,Sixty Crore Seventy Nine Lakh,3.ttf,1160,150
5.jpg,Sixteen Crore Sixty Seven Lakh,1.ttf,1200,150
6.jpg,Ninety Four Crore Fifty Four Lakh,1.ttf,1320,150
7.jpg,Forty Eight Thousand One Hundred and Sixteen,2.ttf,1760,150
8.jpg,Ninety Crore Ten Lakh,3.ttf,840,150
9.jpg,Fourteen Crore Eight Lakh,3.ttf,1000,150
10.jpg,Twenty Two Thousand Four Hundred and Four,2.ttf,1640,150
11.jpg,Eighty Nine Thousand Eight Hundred and Forty Four,1.ttf,1960,150
12.jpg,Eighty Seven Crore Sixty One Lakh,2.ttf,1320,150
13.jpg,Sixty Five Crore Seventy Two Lakh,3.ttf,1320,150
14.jpg,Thirty One Crore Forty One Lakh,3.ttf,1240,150
15.jpg,Ninety Nine Crore Sixty Two Lakh,0.ttf,1280,150
16.jpg,Sixty Three Crore Ten Lakh,1.ttf,1040,150
17.jpg,Forty Nine Thousand Nine Hundred and Forty Four,0.ttf,1880,150
18.jpg,Seventy Nine Thousand Six Hundred and Forty Eight,3.ttf,1960,150
19.jpg,Thirty Thousand Two Hundred and Thirty Two,2.ttf,1680,150
20.jpg,Eleven Thousand Three Hundred and Forty,1.ttf,1560,150
21.jpg,Seventy Nine Thousand Eight Hundred and Fifty,3.ttf,1800,150
22.jpg,Forty Four Thousand Seven Hundred and Ninety Five,2.ttf,1960,150
23.jpg,Eighty Six Crore Ninety Seven Lakh,1.ttf,1360,150
24.jpg,Ninety One Crore Ninety Five Lakh,1.ttf,1320,150
25.jpg,Seventy Thousand Nine Hundred and Sixty Three,2.ttf,1800,150
26.jpg,Thirty Three Thousand One Hundred and Sixteen,0.ttf,1800,150
27.jpg,Two Crore Twenty One Lakh,2.ttf,1000,150
28.jpg,Eighty Seven Thousand Nine Hundred and Five,2.ttf,1720,150
29.jpg,Eight Crore Eighty Five Lakh,2.ttf,1120,150
30.jpg,Twenty Six Crore Forty Two Lakh,2.ttf,1240,150
31.jpg,Seventy Crore Forty Three Lakh,1.ttf,1200,150
32.jpg,Thirty Thousand Nine Hundred and Three,3.ttf,1520,150
33.jpg,One Crore Twenty Four Lakh,3.ttf,1040,150
34.jpg,Eighty Four Thousand Three Hundred,1.ttf,1360,150
35.jpg,Thirty One Crore Four Lakh,3.ttf,1040,150
36.jpg,Seven Crore Sixty Five Lakh,3.ttf,1080,150
37.jpg,Eighty Two Crore Thirty Eight Lakh,2.ttf,1360,150
38.jpg,Nineteen Crore Thirty Lakh,2.ttf,1040,150
39.jpg,Twenty Two Crore Two Lakh,3.ttf,1000,150
40.jpg,Ninety Five Crore Seventy Lakh,3.ttf,1200,150
41.jpg,Twenty One Thousand One Hundred and Seventy Two,3.ttf,1880,150
42.jpg,Thirty Seven Thousand Two Hundred and Sixty Five,3.ttf,1920,150
43.jpg,Seventy Nine Thousand Six Hundred and Sixty Nine,1.ttf,1920,150
44.jpg,Forty Six Thousand Seven Hundred and Sixty Two,0.ttf,1840,150
45.jpg,Seventy Three Crore Thirty Lakh,1.ttf,1240,150
46.jpg,Four Thousand Two Hundred and Fifty Three,2.ttf,1640,150
